Anos;Estoque Inicial;Prod;Cons;Imp;Exp;Cambio;Preco
2004;9799,5646;42125;38603,1823;299,4;4688,384;2,93;18,1
2005;8935,8983;35007;39966,5355;596,1;883,273;2,43;18,41
2006;3688,8898;42514;40293,0289;1011,3;4340,273;2,18;17,88
2007;2581,7879;51370;42482,5035;1164,3;10862,677;1,95;23,67
2008;1770,8074;58648;44853,7451;652;7368,853;1,83;25,55
2009;8852,5093;51004;46499,0645;1181,6;7333,9243;2;21,02
2010;7204,9206;56021;48056,3646;391,9;10966,118;1,76;21,51
2011;4592,438;57408;50256,2636;764,4;9311,9;1,67;30,32
2012;3195,5744;72977;51470,7725;773,98;22313,7;1,95;29,81
2013;3164,5819;81505;52910,9611;911,4;26174,05;2,16;26,99
2014;6496,6708;80051;54193,1214;790,655;20924,8;2,35;26,87
2015;12221,1044;84670;55914,9674;316,1;30172,337;3,33;29,05
2016;11122,3;69142;54959,6974;3338,1;18897,3;3,49;44,48
2017;7134,0026;97842;57213,3863;953,6;30850,8;3,19;30,47
2018;17866,2163;81360;60052;901,8;23820,4;3,65;38,49
2019;15605,1163;99985;63915,3;800;35000;3,89;37,83
